,30HudsonYards,432ParkAve,BrooklynBridge,ChryslerBuilding,ColumbiaLowMemorialLibrary,EmpireState,Flatiron,MetlifeBuilding,NYPublicLibrary,StatueOfLiberty,TheSummit,TheVessel,Timesquare,UNBuilding,WTC
30HudsonYards,18,0,0,0,0,1,0,0,0,0,0,0,0,0,2
432ParkAve,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0
BrooklynBridge,0,0,17,0,0,0,0,0,1,0,0,0,0,0,0
ChryslerBuilding,0,0,0,46,0,0,0,1,0,0,0,1,0,0,1
ColumbiaLowMemorialLibrary,0,0,0,0,19,0,0,0,1,0,0,0,0,0,0
EmpireState,0,0,0,1,0,30,0,1,0,0,0,0,0,1,1
Flatiron,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0
MetlifeBuilding,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
NYPublicLibrary,0,0,0,0,0,0,0,1,26,0,0,0,0,0,0
StatueOfLiberty,0,0,2,0,0,0,0,0,0,44,0,0,0,0,0
TheSummit,0,1,0,0,0,0,0,0,1,0,17,0,0,0,0
TheVessel,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
Timesquare,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
UNBuilding,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
WTC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,28
